TICKER,FIGI,DATE,TYPE,FREQUENCY,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME,ADJ_FACTOR,EX_DIVIDEND,SPLIT_RATIO
GOOGL,BBG000C3C6S2,20-12-2017,EOD,daily,194.21,196.13,193.45,193.78,4045219,18.34288993,18.41715265,18.32432426,18.39858697,12850,,0,1
GOOGL,BBG000C3C6S2,19-12-2017,EOD,daily,195.73,202.2,195.07,201.27,8745047,18.39858697,18.454284,18.32432426,18.42643548,5178,,0,1
GOOGL,BBG000C3C6S2,18-12-2017,EOD,daily,200.99,203.2,194.19,200.17,6008179,18.38930413,18.44500116,18.29647574,18.3522656,26866,,0,1
GOOGL,BBG000C3C6S2,15-12-2017,EOD,daily,201.58,205.08,200.57,202.63,5314766,18.27791006,18.2871929,18.06440476,18.2871929,6467,,0,1
GOOGL,BBG000C3C6S2,14-12-2017,EOD,daily,203.58,204.35,201.83,202.31,3551178,18.18415339,18.28050926,18.13866747,18.13866747,10517,,0,1
GOOGL,BBG000C3C6S2,13-12-2017,EOD,daily,203.06,204.2,200.71,201.36,4107079,18.13866747,18.29629008,18.13866747,18.20364735,11079,,0,1
GOOGL,BBG000C3C6S2,12-12-2017,EOD,daily,202.21,203.44,200.77,203.26,3712699,18.27791006,18.27791006,18.1188022,18.13866747,2611,,0,1
GOOGL,BBG000C3C6S2,11-12-2017,EOD,daily,204.2,209.31,203.11,209.11,6662215,18.09225328,18.23149587,18.05085182,18.1201018,15149,,0,1
GOOGL,BBG000C3C6S2,08-12-2017,EOD,daily,208.01,209.87,206.37,209.87,6298846,18.02179653,18.08297044,17.95301069,18.06440476,15896,,0,1
GOOGL,BBG000C3C6S2,07-12-2017,EOD,daily,210.23,212.1,209.93,211.81,2156782,17.96600667,18.06431193,17.96600667,18.03655625,6905,,0,1
GOOGL,BBG000C3C6S2,06-12-2017,EOD,daily,210.97,211.61,208.03,210.94,4986307,18.00870773,18.0141846,17.78684788,17.96229353,25310,,0,1
GOOGL,BBG000C3C6S2,05-12-2017,EOD,daily,211.9,212.9,211.2,211.81,3687577,18.31504142,18.31504142,18.16651599,18.16651599,3286,,0,1
GOOGL,BBG000C3C6S2,04-12-2017,EOD,daily,213.24,214.16,208.15,210.44,6042310,18.36145561,18.3967304,18.22221303,18.22221303,14994,,0,1
GOOGL,BBG000C3C6S2,01-12-2017,EOD,daily,211.93,212.83,208.4,209.31,4438867,18.2871929,18.50803164,18.13866747,18.35217277,13059,,0,1
GOOGL,BBG000C3C6S2,30-11-2017,EOD,daily,209.46,212.74,206.72,212.49,5972817,18.35217277,18.39756586,18.29647574,18.30575858,16948,,0,1
GOOGL,BBG000C3C6S2,29-11-2017,EOD,daily,211.26,211.58,208.57,208.83,4906618,18.34288993,18.34288993,18.20364735,18.25006154,17175,,0,1
GOOGL,BBG000C3C6S2,28-11-2017,EOD,daily,207.21,209.38,203.62,204.62,6924475,18.18990875,18.25934438,18.1832251,18.24978306,8093,,0,1
GOOGL,BBG000C3C6S2,27-11-2017,EOD,daily,205.37,205.95,199.5,201.95,7552072,18.14795031,18.18675258,18.14275192,18.1776554,11469,,0,1
GOOGL,BBG000C3C6S2,24-11-2017,EOD,daily,202.52,205.7,202.06,204.15,5813229,17.9065965,18.12149422,17.9065965,18.0736876,5420,,0,1
GOOGL,BBG000C3C6S2,22-11-2017,EOD,daily,205.08,205.49,199.07,201.73,8631609,17.97157637,17.97157637,17.86946514,17.89731366,43359,,0,1
GOOGL,BBG000C3C6S2,21-11-2017,EOD,daily,197.7,200.77,197.53,199.7,8523151,17.91587934,17.91587934,17.84161663,17.88803082,8271,,0,1
GOOGL,BBG000C3C6S2,20-11-2017,EOD,daily,202.34,202.42,193.02,193.75,12631703,17.70042464,17.75807107,17.70042464,17.75807107,16810,,0,1
